form,source,event,outcome,motif,mechanics
PHYSICAL,CRYSTAL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,CRYSTAL,SUPPRESSED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,CRYSTAL,EXPIRED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,CRYSTAL,TARGET_UNAVAILABLE,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,CRYSTAL,DIMENSION_INVALID,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,CRYSTAL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,CRYSTAL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,CRYSTAL,MANUAL_END,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SPELL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
PHYSICAL,SPELL,AVATAR_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,SPELL,BODY_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,SPELL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SPELL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SPELL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SPELL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,SPELL,SUPPRESSED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,SPELL,EXPIRED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SPELL,TARGET_UNAVAILABLE,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SPELL,DIMENSION_INVALID,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SPELL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,SPELL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,SPELL,MANUAL_END,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SHADOW_SWORD,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
PHYSICAL,SHADOW_SWORD,AVATAR_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,SHADOW_SWORD,BODY_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,SHADOW_SWORD,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SHADOW_SWORD,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,SHADOW_SWORD,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SHADOW_SWORD,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,SHADOW_SWORD,SUPPRESSED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,SHADOW_SWORD,EXPIRED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SHADOW_SWORD,TARGET_UNAVAILABLE,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SHADOW_SWORD,DIMENSION_INVALID,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,SHADOW_SWORD,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,SHADOW_SWORD,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,SHADOW_SWORD,MANUAL_END,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,PARTISAN,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
PHYSICAL,PARTISAN,AVATAR_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,PARTISAN,BODY_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,PARTISAN,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,PARTISAN,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,PARTISAN,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,PARTISAN,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,PARTISAN,SUPPRESSED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,PARTISAN,EXPIRED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,PARTISAN,TARGET_UNAVAILABLE,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,PARTISAN,DIMENSION_INVALID,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,PARTISAN,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,PARTISAN,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,PARTISAN,MANUAL_END,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,NONE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
REALM_AVATAR,NONE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,NONE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,NONE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,NONE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,NONE,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,NONE,ENERGY_EXHAUSTED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,NONE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,NONE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,NONE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,NONE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,NONE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,NONE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,NONE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,INNATE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
REALM_AVATAR,INNATE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,INNATE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,INNATE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,INNATE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,INNATE,POWER_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,INNATE,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,INNATE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,INNATE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,INNATE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,INNATE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,INNATE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,INNATE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,INNATE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,CRYSTAL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
REALM_AVATAR,CRYSTAL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,CRYSTAL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,CRYSTAL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,CRYSTAL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,CRYSTAL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,CRYSTAL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,CRYSTAL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,CRYSTAL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,CRYSTAL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,CRYSTAL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,CRYSTAL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,CRYSTAL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,CRYSTAL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SPELL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
REALM_AVATAR,SPELL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,SPELL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,SPELL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,SPELL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,SPELL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,SPELL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,SPELL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SPELL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SPELL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SPELL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SPELL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,SPELL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,SPELL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SHADOW_SWORD,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
REALM_AVATAR,SHADOW_SWORD,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,SHADOW_SWORD,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,SHADOW_SWORD,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,SHADOW_SWORD,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,SHADOW_SWORD,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,SHADOW_SWORD,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,SHADOW_SWORD,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SHADOW_SWORD,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SHADOW_SWORD,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SHADOW_SWORD,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,SHADOW_SWORD,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,SHADOW_SWORD,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,SHADOW_SWORD,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,PARTISAN,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
REALM_AVATAR,PARTISAN,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,PARTISAN,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
REALM_AVATAR,PARTISAN,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,PARTISAN,SOURCE_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,PARTISAN,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
REALM_AVATAR,PARTISAN,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
REALM_AVATAR,PARTISAN,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,PARTISAN,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,PARTISAN,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,PARTISAN,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
REALM_AVATAR,PARTISAN,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,PARTISAN,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
REALM_AVATAR,PARTISAN,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,NONE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
ASTRAL_AVATAR,NONE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,NONE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,NONE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,NONE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,NONE,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,NONE,ENERGY_EXHAUSTED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,NONE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,NONE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,NONE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,NONE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,NONE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,NONE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,NONE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,INNATE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
ASTRAL_AVATAR,INNATE,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,INNATE,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,INNATE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,INNATE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,INNATE,POWER_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,INNATE,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,INNATE,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,INNATE,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,INNATE,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,INNATE,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,INNATE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,INNATE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,INNATE,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,CRYSTAL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
ASTRAL_AVATAR,CRYSTAL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,CRYSTAL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,CRYSTAL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,CRYSTAL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,CRYSTAL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,CRYSTAL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,CRYSTAL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,CRYSTAL,EXPIRED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,CRYSTAL,TARGET_UNAVAILABLE,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,CRYSTAL,DIMENSION_INVALID,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,CRYSTAL,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,CRYSTAL,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
ASTRAL_AVATAR,CRYSTAL,MANUAL_END,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
ASTRAL_AVATAR,SPELL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
ASTRAL_AVATAR,SPELL,AVATAR_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,SPELL,BODY_FATAL,RETURN_AND_DIE,soul_recoil,The detached mind returns to its physical body before fatal damage and respawn.
ASTRAL_AVATAR,SPELL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,SPELL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,SPELL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
ASTRAL_AVATAR,SPELL,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
ASTRAL_AVATAR,SPELL,SUPPRESSED,RETURN_ONLY,soul_recall,The remote session closes and safely restores the recorded physical body.
